Iteration,Discriminator Loss,Generator Loss
0,0.707598,0.692248
10,0.436246,1.062475
20,0.086164,2.568663
30,0.034238,4.753212
40,0.199324,4.647945
50,0.374774,3.223861
60,0.500825,2.717451
70,0.486451,2.056952
80,0.643693,1.641588
90,0.849565,2.126062
100,0.653493,1.439543
110,0.988261,1.484867
120,0.952903,1.661132
130,0.941796,1.529973
140,1.137711,1.971500
150,1.001081,1.459180
160,2.022771,0.005142
170,1.398029,1.859195
180,3.398975,3.104450
190,2.281516,3.048375
200,8.069010,0.162324
210,6.681417,0.556600
220,2.049755,2.681796
230,6.696154,0.535704
240,2.344429,0.002289
250,3.253073,0.007907
260,4.347571,2.106241
270,1.643967,0.122077
280,2.164846,0.074126
290,2.066654,0.164362
300,1.632651,0.423946
310,1.390521,0.835364
320,1.381500,0.795264
330,1.377539,0.737928
340,1.381201,0.678162
350,1.383044,0.645652
360,1.383152,0.730400
370,1.387742,0.701199
380,1.381833,0.672164
390,1.383532,0.687705
400,1.378536,0.673646
410,1.386736,0.710419
420,1.385610,0.681940
430,1.354281,0.673573
440,1.205098,0.992526
450,1.180953,1.057164
460,1.048663,1.144681
470,1.040380,1.174851
480,1.142245,0.975601
490,1.128844,0.959051
500,1.242565,0.814930
510,1.387808,0.687486
520,1.217324,0.782167
530,1.232774,0.874320
540,1.297887,0.841463
550,1.321430,0.824643
560,1.328622,0.855824
570,1.342439,0.819793
580,1.363994,0.851077
590,1.393089,0.919437
600,1.351803,0.717977
610,1.363745,0.734940
620,1.379558,0.902647
630,1.365055,0.858331
640,1.352050,0.906686
650,1.344549,0.660183
660,1.337750,0.705037
670,1.328813,0.743443
680,1.339854,0.638922
690,1.320324,0.728834
700,1.316249,0.714681
710,1.333203,0.926944
720,1.299986,0.917908
730,1.277426,0.956772
740,1.251153,0.951151
750,1.289527,1.018777
760,1.197613,1.039483
770,1.138954,1.255860
780,1.207460,1.058858
790,1.045805,1.438150
800,1.201460,1.198562
810,1.225840,1.124167
820,1.248568,1.118646
830,1.295441,0.997659
840,1.255019,0.963019
850,1.238568,1.050591
860,1.242814,1.134218
870,1.243045,1.081066
880,1.245944,1.052790
890,1.218815,1.084759
900,1.238609,1.018096
910,1.251636,1.095129
920,1.253293,1.020409
930,1.274035,1.030666
940,1.222052,1.101469
950,1.249164,1.066648
960,1.187626,1.109492
970,1.167573,1.183358
980,1.145620,1.157248
990,1.053205,1.156848
1000,1.048012,1.190640
1010,1.051697,1.166673
1020,1.122759,0.809844
1030,1.181881,0.813692
1040,1.192208,0.726773
1050,1.230948,0.726584
1060,1.174969,0.699833
1070,1.244757,0.628915
1080,1.215634,0.666220
1090,1.219147,0.682835
1100,1.213023,0.751312
1110,1.194029,0.710649
1120,1.224736,0.692419
1130,1.227663,0.697974
1140,1.261083,0.733148
1150,1.309722,0.692208
1160,1.244747,0.728722
1170,1.298573,0.661959
1180,1.257965,0.648638
1190,1.300836,0.683551
1200,1.345418,0.717627
1210,1.293103,0.672882
1220,1.322150,0.700845
1230,1.330273,0.666610
1240,1.301904,0.738935
1250,1.301934,0.882877
1260,1.335787,0.680746
1270,1.256188,0.737647
1280,1.323285,0.629923
1290,1.296478,0.742017
1300,1.330742,0.718365
1310,1.329687,0.608721
1320,1.302326,0.728743
1330,1.287504,0.720733
1340,1.334767,0.669789
1350,1.320015,0.661201
1360,1.314468,0.723151
1370,1.309155,0.675875
1380,1.322611,0.727104
1390,1.350386,0.682734
1400,1.360975,0.643042
1410,1.319702,0.875469
1420,1.318562,0.730553
1430,1.316537,0.874196
1440,1.304423,0.635898
1450,1.321079,0.644114
1460,1.365029,0.580841
1470,1.318777,0.681910
1480,1.324517,0.738198
1490,1.264335,0.923852
1500,1.316710,0.709615
1510,1.283048,0.697345
1520,1.352523,0.627611
1530,1.323880,0.853377
1540,1.353614,0.493641
1550,1.336676,0.589828
1560,1.311289,0.646577
1570,1.269296,0.895153
1580,1.260537,0.707868
1590,1.300103,0.920727
1600,1.256697,0.733983
1610,1.344499,0.659096
1620,1.214229,0.613698
1630,1.325181,0.944575
1640,1.328950,0.950847
1650,1.266024,0.646322
1660,1.295876,0.695411
1670,1.319627,0.687617
1680,1.327657,0.612115
1690,1.308057,0.686232
1700,1.298943,0.641002
1710,1.330692,0.592102
1720,1.290838,0.877797
1730,1.298525,0.772087
1740,1.354446,0.689744
1750,1.317065,0.706823
1760,1.258615,0.771850
1770,1.234339,0.687735
1780,1.292467,0.632921
1790,1.294201,0.862670
1800,1.304671,0.685638
1810,1.318317,0.907971
1820,1.362247,0.672318
1830,1.291832,0.911684
1840,1.300019,0.704040
1850,1.310743,0.843913
1860,1.362295,0.651513
1870,1.321604,0.694671
1880,1.312030,0.673571
1890,1.292975,0.684974
1900,1.295957,0.545364
1910,1.340696,0.674597
1920,1.275357,0.915770
1930,1.266940,0.672224
1940,1.318021,0.648140
1950,1.256195,0.697548
1960,1.345377,0.916246
1970,1.338234,0.642813
1980,1.293886,1.061914
1990,1.321673,0.856597
2000,1.308048,0.778577
2010,1.167931,0.633615
2020,1.336693,0.699509
2030,1.344796,0.660953
2040,1.350598,0.852902
2050,1.302514,0.718824
2060,1.327629,0.742243
2070,1.327173,0.673870
2080,1.287148,0.511681
2090,1.325586,0.876656
2100,1.358539,0.607843
2110,1.347229,0.682619
2120,1.348506,0.703222
2130,1.352552,0.840439
2140,1.304454,0.846568
2150,1.272933,0.796833
2160,1.339867,0.711883
2170,1.328923,0.700305
2180,1.344545,0.921810
2190,1.264352,0.642397
2200,1.322528,0.670739
2210,1.347613,0.647954
2220,1.358724,0.638504
2230,1.342332,0.724888
2240,1.273475,0.666600
2250,1.350684,0.696939
2260,1.286348,0.720820
2270,1.334807,0.737999
2280,1.317138,0.781370
2290,1.314464,0.655476
2300,1.327239,0.621298
2310,1.362251,0.802550
2320,1.309127,0.794063
2330,1.381717,0.578671
2340,1.329471,0.739062
2350,1.317620,0.637141
2360,1.269416,0.656441
2370,1.353080,0.648648
2380,1.299767,0.705595
2390,1.291080,0.573577
2400,1.332955,0.910330
2410,1.329289,0.655885
2420,1.326435,0.732786
